id,rate,state,Population,rate2
1,10183500,AL,"4,780,127",2.130382728
2,1657987,AK,"710,249",2.334374283
4,11927112,AZ,"6,392,307",1.865854065
5,6253098,AR,"2,915,958",2.144440352
6,103327612,CA,"37,254,503",2.77356034
7,14073857,CT,"3,574,118",3.937714703
8,15838096,CO,"5,029,324",3.149150065
10,2467802,DE,"897,936",2.748305002
11,3496938,DC,"601,767",5.811116263
12,46326413,FL,"18,804,623",2.463565103
13,30151785,GA,"9,688,681",3.112062932
15,3257585,HI,"1,360,301",2.394753073
16,3404167,ID,"1,567,652",2.171506814
17,39604695,IL,"12,831,549",3.086509275
18,14226778,IN,"6,484,229",2.194058538
20,7702838,KS,"2,853,132",2.699783256
21,7683724,KY,"4,339,349",1.770708924
22,7555352,LA,"4,533,479",1.666568214
24,20861136,MD,"5,773,785",3.613078076
25,18190680,MA,"6,547,817",2.778128955
26,22119376,MI,"9,884,129",2.237868
27,14435172,MN,"5,303,925",2.721601833
28,5944121,MS,"2,968,103",2.002666686
29,14556964,MO,"5,988,927",2.430646425
30,1798886,MT,"989,417",1.818127241
31,4897286,NE,"1,826,341",2.681474051
32,9215646,NV,"2,700,691",3.412328919
33,4158541,NH,"1,316,466",3.158866997
34,27132452,NJ,"8,791,936",3.086061136
35,3310178,NM,"2,059,192",1.607513044
36,53961563,NY,"19,378,087",2.78466925
37,20971375,NC,"9,535,692",2.199250458
39,29102085,OH,"11,536,725",2.522560345
40,6486452,OK,"3,751,616",1.72897546
41,10140419,OR,"3,831,073",2.646887439
42,23567590,PA,"12,702,887",1.855293997
44,3712592,RI,"1,052,931",3.525959441
45,8752828,SC,"4,625,401",1.89233928
46,1454264,SD,"814,191",1.786146003
47,13125980,TN,"6,346,275",2.068296757
48,55332549,TX,"25,146,105",2.200442136
49,4597215,UT,"2,763,888",1.663314505
50,1544896,VT,"625,745",2.468890682
51,26383337,VA,"8,001,045",3.297486391
53,18816805,WA,"6,724,543",2.798228073
54,2798845,WV,"1,853,011",1.510430861
55,13739339,WI,"5,687,289",2.415797579
56,1085914,WY,"563,767",1.926175175