Year,Occupation,Rate
2014,Executive,10%
2014,Computer Programmer,6%
2014,Analyst,6%
2014,Nurse (RN),5%
2014,Teacher,5%
2014,Accountant/CPA,5%
2014,Sales - Commission,4%
2014,Retail Management,4%
2014,Skilled Labor,4%
2014,Construction,4%
2013,Executive,9%
2013,Computer Programmer,6%
2013,Nurse (RN),6%
2013,Analyst,6%
2013,Accountant/CPA,5%
2013,Teacher,5%
2013,Sales - Commission,5%
2013,Retail Management,4%
2013,Skilled Labor,4%
2013,Administrative Assistant,4%
2012,Executive,8%
2012,Computer Programmer,7%
2012,Administrative Assistant,6%
2012,Analyst,5%
2012,Teacher,5%
2012,Sales - Commission,5%
2012,Accountant/CPA,5%
2012,Nurse (RN),4%
2012,Skilled Labor,4%
2012,Retail Management,4%
2011,Computer Programmer,8%
2011,Executive,8%
2011,Analyst,6%
2011,Accountant/CPA,5%
2011,Administrative Assistant,5%
2011,Teacher,5%
2011,Sales - Commission,4%
2011,Sales - Retail,4%
2011,Nurse (RN),3%
2011,Retail Management,3%
2010,Computer Programmer,12%
2010,Executive,9%
2010,Analyst,7%
2010,Accountant/CPA,6%
2010,Administrative Assistant,5%
2010,Sales - Commission,5%
2010,Teacher,4%
2010,Sales - Retail,3%
2010,Military Enlisted,3%
2010,Engineer - Mechanical,3%
2009,Computer Programmer,11%
2009,Executive,9%
2009,Accountant/CPA,9%
2009,Analyst,8%
2009,Teacher,6%
2009,Nurse (RN),4%
2009,Administrative Assistant,4%
2009,Skilled Labor,4%
2009,Sales - Commission,3%
2009,Sales - Retail,3%
2009,Engineer - Mechanical,3%